link_articol,platforma,data,cuvinte_cheie
https://www.digi24.ro/stiri/externe/cum-a-reusit-cea-mai-fericita-tara-din-lume-sa-injumatateasca-rata-sinuciderilor-si-sa-salveze-mii-de-vieti-the-guardian-2698511, digi24, 25.02.2024 08:00 ,nothing
https://www.digi24.ro/stiri/sci-tech/descoperiri/fosilele-unui-animal-foarte-ciudat-gasite-intacte-aceasta-descoperire-nu-face-decat-sa-sporeasca-ciudateniile-din-triasic-2697981, digi24, 25.02.2024 08:00 ,nothing
https://www.digi24.ro/stiri/externe/femeia-care-si-a-rupt-pasaportul-si-a-ales-inchisoarea-din-belarus-in-locul-exilului-este-data-disparuta-cine-este-maria-kolesnikova-2695701, digi24, 25.02.2024 08:00 ,nothing
https://www.digi24.ro/stiri/externe/donald-trump-a-castigat-alegerile-primare-republicane-in-carolina-de-sud-nikki-haley-nu-abandonez-aceasta-lupta-2699863, digi24, 25.02.2024 07:54 ,nothing
https://www.digi24.ro/stiri/externe/olena-zelenska-peste-500-de-copii-au-fost-ucisi-in-ucraina-dupa-invazia-rusa-alti-2-milioane-au-parasit-tara-2699859, digi24, 25.02.2024 07:36 ,ucraina 
https://www.digi24.ro/stiri/externe/giorgia-meloni-daca-rusia-nu-ar-fi-invadat-ucraina-hamas-nu-ar-fi-atacat-israelul-2699849, digi24, 25.02.2024 07:15 ,invadat ucraina rusia israel 
https://www.digi24.ro/stiri/externe/ucraina-intra-in-al-treilea-an-de-razboi-cu-depozitele-de-munitiii-goale-si-cere-ajutor-aliatilor-occidentali-contam-pe-voi-2699839, digi24, 25.02.2024 07:00 ,război ucraina 
https://www.digi24.ro/stiri/externe/un-barbat-a-fortat-intrarea-in-resedinta-oficiala-a-presedintelui-brazilian-lula-da-silva-2699831, digi24, 24.02.2024 23:58 ,nothing
https://www.digi24.ro/stiri/externe/papa-francisc-si-a-anulat-programul-de-sambata-din-cauza-unei-gripe-usoare-2699825, digi24, 24.02.2024 23:34 ,nothing
https://www.digi24.ro/stiri/actualitate/cutremur-in-romania-sambata-seara-2699813, digi24, 24.02.2024 22:38 ,nothing
https://www.digi24.ro/stiri/externe/ucraina-a-revendicat-un-atac-cu-drona-asupra-celei-mai-mari-otelarii-din-rusia-2699791, digi24, 24.02.2024 21:57 ,ucraina rusia 
